Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score,Green Time,Yellow Time,Red Time
Johanna3,YES,NO,1,6.511132,2,6.511132,YES,YES,NO,-11.42589,1.305929,100.37,9.974915,9.974915,0.8555565,2.522222,3.133328
Johanna3,YES,NO,2,12.95566,3,6.444465,YES,YES,NO,-9.151622,0.3974939,66.934,12.77464,22.74955,1.055557,5.377784,0.01111111
Johanna3,YES,NO,3,17.70002,4,4.744442,YES,YES,NO,11.02805,2.26513,92.22266,12.5244,35.27395,1.055557,1.900004,1.788892
Johanna3,YES,NO,4,21.52197,5,3.822211,YES,YES,NO,7.52975,0.6959228,50.41523,15.00948,50.28343,1.022224,2.522222,0.2777778
Johanna3,YES,NO,5,28.14371,6,6.622245,YES,YES,NO,6.74502,-3.523327,107.2797,10.21065,60.49408,0.8888899,4.766665,0.9666679
Johanna3,YES,NO,6,30.94351,1,2.799997,YES,YES,NO,-4.955015,-4.500568,47.82549,14.55546,75.04955,1.577781,0.8333342,0.3888889
Johanna3,YES,NO,7,33.14354,2,2.200002,YES,YES,NO,-13.9044,-0.01424312,38.90017,8.483417,83.53296,0.2222222,1.700003,0.2777778
Johanna3,YES,NO,8,43.14454,3,10.00007,NO,NO,NO,-4.714869,-2.829757,131.1354,0,83.53296,1.400002,8.600049,0
Johanna3,YES,NO,9,52.50102,4,9.355615,YES,YES,NO,10.38679,0.05862072,207.2575,9.349274,92.88223,0.7000005,5.244449,3.411103
Johanna3,YES,NO,10,62.50201,5,10.00007,NO,NO,NO,-1.242553,-2.447648,216.3258,0,92.88223,0.2555556,7.922262,1.822226
Johanna3,YES,NO,11,72.50008,6,10.00007,NO,NO,NO,0.4199128,-1.142695,191.6466,0,92.88223,0.6222225,6.100016,3.277771
Johanna3,YES,NO,12,77.49886,1,5.000001,YES,YES,YES,-2.746985,-5.157744,86.13219,10.20656,103.0888,1.800003,2.911108,0.2888889
Johanna3,YES,NO,13,84.4305,6,6.93336,YES,YES,YES,8.220843,-5.159375,105.8026,6.305262,109.3941,0.9111122,1.744448,4.277769
Johanna3,YES,NO,14,94.42806,5,10.00007,NO,NO,YES,-4.640111,-1.731579,230.2778,0,109.3941,0.1777778,6.988916,2.83333
Johanna3,YES,NO,15,104.259,4,9.833399,YES,YES,YES,7.486508,3.883913,228.7733,8.229448,117.6235,0.7444451,5.333339,3.755545
Johanna3,YES,NO,16,110.5575,5,6.300018,YES,YES,YES,2.11059,0.1650423,117.5014,11.70841,129.3319,0.7444451,3.92221,1.633336
Johanna3,YES,NO,17,120.555,6,10.00007,YES,NO,YES,5.266266,-3.999651,136.6796,0,129.3319,1.055557,5.711122,3.233327
Johanna3,YES,NO,18,130.5526,3,10.00007,NO,NO,YES,-11.72384,0.4574187,164.7523,0,129.3319,1.222224,6.177794,2.599999
Johanna3,YES,NO,19,132.3521,2,1.800003,YES,YES,YES,-11.16712,-1.179583,26.89506,14.03313,143.365,1.044446,0.5333334,0.2222222
Johanna3,YES,NO,20,134.6849,1,2.333334,YES,YES,YES,-5.85993,-4.057766,19.07113,13.62903,156.9941,0.9222233,1.411114,0
Johanna3,YES,NO,21,136.8288,2,2.144447,YES,YES,YES,-11.38,1.734576,20.43258,16.13566,173.1297,0.6000003,1.544447,0
Johanna3,YES,NO,22,145.56,6,8.733384,YES,YES,YES,6.282039,-4.18088,114.2603,8.725237,181.855,1.222224,4.911111,2.599999
Johanna3,YES,NO,23,155.5576,3,10.00007,NO,NO,YES,-0.2640113,0.5450001,201.2895,0,181.855,0,6.100016,3.899988
Johanna3,YES,NO,24,161.7894,6,6.233351,YES,YES,YES,7.340025,-2.445893,102.7828,12.19621,194.0512,0.2777778,3.222216,2.733331
Johanna3,YES,NO,25,165.9662,2,4.177768,YES,YES,YES,-14.00459,-0.1304413,48.74711,14.55693,208.6081,1.100002,1.611114,1.466669
